C_Index,City,State
11,"Lucknow","Uttar Pradesh"
12,"Kanpur","Uttar Pradesh"
21,"Ghaziabad","Uttar Pradesh"
23,"Agra","Uttar Pradesh"
26,"Meerut","Uttar Pradesh"
30,"Varanasi","Uttar Pradesh"
36,"Allahabad","Uttar Pradesh"
51,"Bareilly","Uttar Pradesh"
53,"Moradabad","Uttar Pradesh"
55,"Aligarh","Uttar Pradesh"
63,"Saharanpur","Uttar Pradesh"
64,"Gorakhpur","Uttar Pradesh"
68,"Noida","Uttar Pradesh"
73,"Firozabad","Uttar Pradesh"
83,"Loni","Uttar Pradesh"
87,"Jhansi","Uttar Pradesh"
114,"Muzaffarnagar","Uttar Pradesh"
125,"Mathura","Uttar Pradesh"
132,"Shahjahanpur","Uttar Pradesh"
134,"Rampur","Uttar Pradesh"
162,"Maunath Bhanjan","Uttar Pradesh"
165,"Farrukhabad and Fatehgarh","Uttar Pradesh"
171,"Hapur","Uttar Pradesh"
176,"Etawah","Uttar Pradesh"
188,"Mirzapur and Vindhyachal","Uttar Pradesh"
200,"Bulandshahr","Uttar Pradesh"
203,"Sambhal","Uttar Pradesh"
231,"Amroha","Uttar Pradesh"
241,"Fatehpur","Uttar Pradesh"
242,"Rae Bareli","Uttar Pradesh"
243,"Khora","Uttar Pradesh"
245,"Orai","Uttar Pradesh"
246,"Bahraich","Uttar Pradesh"
257,"Jaunpur","Uttar Pradesh"
261,"Unnao","Uttar Pradesh"
263,"Sitapur","Uttar Pradesh"
283,"Faizabad","Uttar Pradesh"
291,"Budaun","Uttar Pradesh"
303,"Banda","Uttar Pradesh"
307,"Lakhimpur","Uttar Pradesh"
348,"Hathras","Uttar Pradesh"
353,"Lalitpur","Uttar Pradesh"
360,"Modinagar","Uttar Pradesh"
361,"Deoria","Uttar Pradesh"
366,"Pilibhit","Uttar Pradesh"
368,"Hardoi","Uttar Pradesh"
394,"Mainpuri","Uttar Pradesh"
403,"Etah","Uttar Pradesh"
423,"Basti","Uttar Pradesh"
427,"Chandausi","Uttar Pradesh"
428,"Gonda","Uttar Pradesh"
437,"Akbarpur","Uttar Pradesh"
440,"Khurja","Uttar Pradesh"
442,"Azamgarh","Uttar Pradesh"
443,"Ghazipur","Uttar Pradesh"
447,"Mughalsarai","Uttar Pradesh"
451,"Kanpur Cantonment","Uttar Pradesh"
455,"Sultanpur","Uttar Pradesh"
457,"Shikohabad","Uttar Pradesh"
459,"Shamli","Uttar Pradesh"
472,"Ballia","Uttar Pradesh"
476,"Baraut","Uttar Pradesh"
487,"Greater Noida","Uttar Pradesh"
492,"Kasganj","Uttar Pradesh"
1,"Mumbai","Maharashtra"
2,"Delhi","Delhi"
3,"Bangalore","Karnataka"
4,"Hyderabad","Andhra Pradesh"
5,"Ahmedabad","Gujarat"
6,"Chennai","Tamil Nadu"
7,"Kolkata","West Bengal"
8,"Surat","Gujarat"
9,"Pune","Maharashtra"
10,"Jaipur","Rajasthan"
13,"Nagpur","Maharashtra"
14,"Indore","Madhya Pradesh"
15,"Thane","Maharashtra"
16,"Bhopal","Madhya Pradesh"
17,"Visakhapatnam","Andhra Pradesh"
18,"Pimpri and Chinchwad","Maharashtra"
19,"Patna","Bihar"
20,"Vadodara","Gujarat"
22,"Ludhiana","Punjab"
24,"Nashik","Maharashtra"
25,"Faridabad","Haryana"
27,"Rajkot","Gujarat"
28,"Kalyan and Dombivali","Maharashtra"
29,"Vasai Virar","Maharashtra"
31,"Srinagar","Jammu and Kashmir"
32,"Aurangabad","Maharashtra"
33,"Dhanbad","Jharkhand"
34,"Amritsar","Punjab"
35,"Navi Mumbai","Maharashtra"
37,"Haora","West Bengal"
38,"Ranchi","Jharkhand"
39,"Gwalior","Madhya Pradesh"
40,"Jabalpur","Madhya Pradesh"
41,"Coimbatore","Tamil Nadu"
42,"Vijayawada","Andhra Pradesh"
43,"Jodhpur","Rajasthan"
44,"Madurai","Tamil Nadu"
45,"Raipur","Chhattisgarh"
46,"Kota","Rajasthan"
47,"Chandigarh","Chandigarh"
48,"Guwahati","Assam"
49,"Solapur","Maharashtra"
50,"Hubli and Dharwad","Karnataka"
52,"Mysore","Karnataka"
54,"Gurgaon","Haryana"
56,"Jalandhar","Punjab"
57,"Tiruchirappalli","Tamil Nadu"
58,"Bhubaneswar","Orissa"
59,"Salem","Tamil Nadu"
60,"Mira and Bhayander","Maharashtra"
61,"Thiruvananthapuram","Kerala"
62,"Bhiwandi","Maharashtra"
65,"Guntur","Andhra Pradesh"
66,"Amravati","Maharashtra"
67,"Bikaner","Rajasthan"
69,"Jamshedpur","Jharkhand"
70,"Bhilai Nagar","Chhattisgarh"
71,"Warangal","Andhra Pradesh"
72,"Cuttack","Orissa"
74,"Kochi","Kerala"
75,"Bhavnagar","Gujarat"
76,"Dehradun","Uttarakhand"
77,"Durgapur","West Bengal"
78,"Asansol","West Bengal"
79,"Nanded Waghala","Maharashtra"
80,"Kolapur","Maharashtra"
81,"Ajmer","Rajasthan"
82,"Gulbarga","Karnataka"
84,"Ujjain","Madhya Pradesh"
85,"Siliguri","West Bengal"
86,"Ulhasnagar","Maharashtra"
88,"Sangli Miraj Kupwad","Maharashtra"
89,"Jammu","Jammu and Kashmir"
90,"Nellore","Andhra Pradesh"
91,"Mangalore","Karnataka"
92,"Belgaum","Karnataka"
93,"Jamnagar","Gujarat"
94,"Tirunelveli","Tamil Nadu"
95,"Malegaon","Maharashtra"
96,"Gaya","Bihar"
97,"Ambattur","Tamil Nadu"
98,"Jalgaon","Maharashtra"
99,"Udaipur","Rajasthan"
100,"Maheshtala","West Bengal"
101,"Tiruppur","Tamil Nadu"
102,"Davanagere","Karnataka"
103,"Kozhikode","Kerala"
104,"Kurnool","Andhra Pradesh"
105,"Akola","Maharashtra"
106,"Rajpur Sonarpur","West Bengal"
107,"Bokaro Steel","Jharkhand"
108,"Bellary","Karnataka"
109,"Patiala","Punjab"
110,"South Dum Dum","West Bengal"
111,"Rajarhat Gopalpur","West Bengal"
112,"Bhagalpur","Bihar"
113,"Agartala","Tripura"
115,"Bhatpara","West Bengal"
116,"Latur","Maharashtra"
117,"Panihati","West Bengal"
118,"Dhule","Maharashtra"
119,"Rohtak","Haryana"
120,"Korba","Chhattisgarh"
121,"Bhilwara","Rajasthan"
122,"Brahmapur Town","Orissa"
123,"Muzaffarpur","Bihar"
124,"Ahmadnagar","Maharashtra"
126,"Kollam","Kerala"
127,"Avadi","Tamil Nadu"
128,"Kadapa","Andhra Pradesh"
129,"Rajahmundry","Andhra Pradesh"
130,"Bilaspur","Chhattisgarh"
131,"Kamarhati","West Bengal"
133,"Bijapur","Karnataka"
135,"Shimoga","Karnataka"
136,"Chandrapur","Maharashtra"
137,"Junagadh","Gujarat"
138,"Thrissur","Kerala"
139,"Alwar","Rajasthan"
140,"Barddhaman","West Bengal"
141,"Kulti","West Bengal"
142,"Kakinada","Andhra Pradesh"
143,"Nizamabad","Andhra Pradesh"
144,"Parbhani","Maharashtra"
145,"Tumkur","Karnataka"
146,"Hisar","Haryana"
147,"Ozhukarai","Puducherry"
148,"Biharsharif","Bihar"
149,"Darbhanga","Bihar"
150,"Panipat","Haryana"
151,"Aizawl","Mizoram"
152,"Bally","West Bengal"
153,"Dewas","Madhya Pradesh"
154,"Tirupati","Andhra Pradesh"
155,"Ichalkaranji","Maharashtra"
156,"Karnal","Haryana"
157,"Bathinda","Punjab"
158,"Jalna","Maharashtra"
159,"Kirari Suleman Nagar","Delhi"
160,"Purnia","Bihar"
161,"Satna","Madhya Pradesh"
163,"Barasat","West Bengal"
164,"Sonipat","Haryana"
166,"Sagar","Madhya Pradesh"
167,"Raurkela","Orissa"
168,"Durg","Chhattisgarh"
169,"Imphal","Manipur"
170,"Ratlam","Madhya Pradesh"
172,"Arrah","Bihar"
173,"Karimnagar","Andhra Pradesh"
174,"Anantapur","Andhra Pradesh"
175,"NDMC","Delhi"
177,"Ambernath","Maharashtra"
178,"Bharatpur","Rajasthan"
179,"Begusarai","Bihar"
180,"Tiruvottiyur","Tamil Nadu"
181,"North Dum Dum","West Bengal"
182,"Gandhidham","Gujarat"
183,"Baranagar","West Bengal"
184,"Puducherry","Puducherry"
185,"Thoothukkudi","Tamil Nadu"
186,"Sikar","Rajasthan"
187,"Rewa","Madhya Pradesh"
189,"Raichur","Karnataka"
190,"Pali","Rajasthan"
191,"Ramagundam","Andhra Pradesh"
192,"Hardwar","Uttarakhand"
193,"Vizianagaram","Andhra Pradesh"
194,"Katihar","Bihar"
195,"Nagercoil","Tamil Nadu"
196,"Ganganagar","Rajasthan"
197,"Karawal Nagar","Delhi"
198,"Mango","Jharkhand"
199,"Thanjavur","Tamil Nadu"
201,"Uluberia","West Bengal"
202,"Murwara","Madhya Pradesh"
204,"Singrauli","Madhya Pradesh"
205,"Nadiad","Gujarat"
206,"Secunderabad","Andhra Pradesh"
207,"Naihati","West Bengal"
208,"Yamunanagar","Haryana"
209,"Bidhan Nagar","West Bengal"
210,"Pallavaram","Tamil Nadu"
211,"Bidar","Karnataka"
212,"Munger","Bihar"
213,"Panchkula","Haryana"
214,"Burhanpur","Madhya Pradesh"
215,"Raurkela Industrial Township","Orissa"
216,"Kharagpur","West Bengal"
217,"Dindigul","Tamil Nadu"
218,"Gandhinagar","Gujarat"
219,"Hospet","Karnataka"
220,"Nangloi Jat","Delhi"
221,"English Bazar","West Bengal"
222,"Ongole","Andhra Pradesh"
223,"Eluru","Andhra Pradesh"
224,"Deoghar","Jharkhand"
225,"Chapra","Bihar"
226,"Haldia","West Bengal"
227,"Khandwa","Madhya Pradesh"
228,"Puri Town","Orissa"
229,"Nandyal","Andhra Pradesh"
230,"Morena","Madhya Pradesh"
232,"Anand","Gujarat"
233,"Bhind","Madhya Pradesh"
234,"Bhalswa Jahangir Pur","Delhi"
235,"Madhyamgram","West Bengal"
236,"Bhiwani","Haryana"
237,"Navi Mumbai Panvel Raigad","Maharashtra"
238,"Baharampur","West Bengal"
239,"Ambala","Haryana"
240,"Morvi","Gujarat"
244,"Bhusawal","Maharashtra"
247,"Vellore","Tamil Nadu"
248,"Mahesana","Gujarat"
249,"Khammam","Andhra Pradesh"
250,"Sambalpur","Orissa"
251,"Raiganj","West Bengal"
252,"Sirsa","Haryana"
253,"Dinapur Nizamat","Bihar"
254,"Serampore","West Bengal"
255,"Sultan Pur Majra","Delhi"
256,"Guna","Madhya Pradesh"
258,"Panvel","Maharashtra"
259,"Shivpuri","Madhya Pradesh"
260,"Surendranagar Dudhrej","Gujarat"
262,"Hugli and Chinsurah","West Bengal"
264,"Hastsal","Delhi"
265,"Tambaram","Tamil Nadu"
266,"Adityapur","Jharkhand"
267,"Badalapur","Maharashtra"
268,"Alappuzha","Kerala"
269,"Cuddalore","Tamil Nadu"
270,"Silchar","Assam"
271,"Gadag and Betigeri","Karnataka"
272,"Bahadurgarh","Haryana"
273,"Machilipatnam","Andhra Pradesh"
274,"Shimla","Himachal Pradesh"
275,"Medinipur","West Bengal"
276,"Deoli","Delhi"
277,"Bharuch","Gujarat"
278,"Hoshiarpur","Punjab"
279,"Jind","Haryana"
280,"Chandannagar","West Bengal"
281,"Adoni","Andhra Pradesh"
282,"Tonk","Rajasthan"
284,"Tenali","Andhra Pradesh"
285,"Alandur","Tamil Nadu"
286,"Kancheepuram","Tamil Nadu"
287,"Vapi","Gujarat"
288,"Rajnandgaon","Chhattisgarh"
289,"Proddatur","Andhra Pradesh"
290,"Navsari","Gujarat"
292,"Uttarpara Kotrung","West Bengal"
293,"Mahbubnagar","Andhra Pradesh"
294,"Erode","Tamil Nadu"
295,"Batala","Punjab"
296,"Saharsa","Bihar"
297,"Haldwani and Kathgodam","Uttarakhand"
298,"Vidisha","Madhya Pradesh"
299,"Thanesar","Haryana"
300,"Kishangarh","Rajasthan"
301,"Dallo Pura","Delhi"
302,"Veraval","Gujarat"
304,"Chittoor","Andhra Pradesh"
305,"Krishnanagar","West Bengal"
306,"Barrackpur","West Bengal"
308,"Santipur","West Bengal"
309,"Porbandar","Gujarat"
