D_Index,District,State
13,"Allahabad","Uttar Pradesh"
26,"Moradabad","Uttar Pradesh"
27,"Ghaziabad","Uttar Pradesh"
30,"Azamgarh","Uttar Pradesh"
31,"Lucknow","Uttar Pradesh"
32,"Kanpur Nagar","Uttar Pradesh"
36,"Jaunpur","Uttar Pradesh"
38,"Sitapur","Uttar Pradesh"
39,"Bareilly","Uttar Pradesh"
40,"Gorakhpur","Uttar Pradesh"
41,"Agra","Uttar Pradesh"
49,"Muzaffarnagar","Uttar Pradesh"
51,"Hardoi","Uttar Pradesh"
56,"Kheri","Uttar Pradesh"
68,"Sultanpur","Uttar Pradesh"
73,"Bijnor","Uttar Pradesh"
74,"Budaun","Uttar Pradesh"
75,"Varanasi","Uttar Pradesh"
77,"Aligarh","Uttar Pradesh"
79,"Ghazipur","Uttar Pradesh"
81,"Kushinagar","Uttar Pradesh"
85,"Bulandshahar","Uttar Pradesh"
89,"Bahraich","Uttar Pradesh"
91,"Saharanpur","Uttar Pradesh"
94,"Meerut","Uttar Pradesh"
95,"Gonda","Uttar Pradesh"
97,"Rae Bareli","Uttar Pradesh"
107,"Barabanki","Uttar Pradesh"
108,"Ballia","Uttar Pradesh"
109,"Pratapgarh","Uttar Pradesh"
112,"Unnao","Uttar Pradesh"
113,"Deoria","Uttar Pradesh"
123,"Shahjahanpur","Uttar Pradesh"
148,"Maharajganj","Uttar Pradesh"
155,"Fatehpur","Uttar Pradesh"
164,"Siddharth Nagar","Uttar Pradesh"
167,"Mathura","Uttar Pradesh"
172,"Firozabad","Uttar Pradesh"
173,"Mirzapur","Uttar Pradesh"
176,"Faizabad","Uttar Pradesh"
178,"Basti","Uttar Pradesh"
186,"Ambedkar Nagar","Uttar Pradesh"
194,"Rampur","Uttar Pradesh"
206,"Mau","Uttar Pradesh"
213,"Balrampur","Uttar Pradesh"
229,"Pilibhit","Uttar Pradesh"
232,"Jhansi","Uttar Pradesh"
238,"Chandauli","Uttar Pradesh"
250,"Farrukhabad","Uttar Pradesh"
254,"Mainpuri","Uttar Pradesh"
255,"Sonbhadra","Uttar Pradesh"
258,"Jyotiba Phule Nagar","Uttar Pradesh"
266,"Banda","Uttar Pradesh"
268,"Ramabai Nagar","Uttar Pradesh"
271,"Etah","Uttar Pradesh"
283,"Sant Kabir Nagar","Uttar Pradesh"
294,"Jalaun","Uttar Pradesh"
299,"Kannauj","Uttar Pradesh"
304,"Gautam Buddha Nagar","Uttar Pradesh"
312,"Kaushambi","Uttar Pradesh"
315,"Etawah","Uttar Pradesh"
316,"Sant Ravidas Nagar","Uttar Pradesh"
319,"Mahamaya Nagar","Uttar Pradesh"
346,"Kanshiram Nagar","Uttar Pradesh"
356,"Auraiya","Uttar Pradesh"
376,"Baghpat","Uttar Pradesh"
391,"Lalitpur","Uttar Pradesh"
414,"Shrawasti","Uttar Pradesh"
417,"Hamirpur","Uttar Pradesh"
449,"Chitrakoot","Uttar Pradesh"
470,"Mahoba","Uttar Pradesh"
1,"Thane","Maharashtra"
2,"North Twenty Four Parganas","West Bengal"
3,"Bangalore","Karnataka"
4,"Pune","Maharashtra"
5,"Mumbai Suburban","Maharashtra"
6,"South Twenty Four Parganas","West Bengal"
7,"Barddhaman","West Bengal"
8,"Ahmadabad","Gujarat"
9,"Murshidabad","West Bengal"
10,"Jaipur","Rajasthan"
11,"Nashik","Maharashtra"
12,"Surat","Gujarat"
14,"Paschim Medinipur","West Bengal"
15,"Patna","Bihar"
16,"Hugli","West Bengal"
17,"Rangareddy","Andhra Pradesh"
18,"Nadia","West Bengal"
19,"East Godavari","Andhra Pradesh"
20,"Purbi Champaran","Bihar"
21,"Purba Medinipur","West Bengal"
22,"Guntur","Andhra Pradesh"
23,"Haora","West Bengal"
24,"Muzaffarpur","Bihar"
25,"Belgaum","Karnataka"
28,"Nagpur","Maharashtra"
29,"Chennai","Tamil Nadu"
33,"Ahmadnagar","Maharashtra"
34,"Krishna","Andhra Pradesh"
35,"Kolkata","West Bengal"
37,"Madhubani","Bihar"
