S no,City,State,Population,Metropolitan,Sexratio,Literacy
11,"Lucknow","Uttar Pradesh",2817105,2901474,928,0.825
12,"Kanpur","Uttar Pradesh",2765348,2920067,857,0.8242
21,"Ghaziabad","Uttar Pradesh",1648643,2358525,885,0.8478
23,"Agra","Uttar Pradesh",1585704,1746467,875,0.7311
26,"Meerut","Uttar Pradesh",1305429,1424908,897,0.7566
30,"Varanasi","Uttar Pradesh",1198491,1435113,887,0.7927
36,"Allahabad","Uttar Pradesh",1112544,1216719,853,0.8476
51,"Bareilly","Uttar Pradesh",903668,979933,895,0.6825
53,"Moradabad","Uttar Pradesh",887871,887871,911,0.6875
55,"Aligarh","Uttar Pradesh",874408,909559,894,0.6852
63,"Saharanpur","Uttar Pradesh",705478,705478,898,0.7632
64,"Gorakhpur","Uttar Pradesh",673446,692519,903,0.8391
68,"Noida","Uttar Pradesh",637272,637272,824,0.8653
73,"Firozabad","Uttar Pradesh",604214,604214,892,0.6632
83,"Loni","Uttar Pradesh",516082,516082,876,0.7214
87,"Jhansi","Uttar Pradesh",505693,549391,905,0.8302
114,"Muzaffarnagar","Uttar Pradesh",392768,494792,899,0.798
125,"Mathura","Uttar Pradesh",349909,454937,881,0.7497
132,"Shahjahanpur","Uttar Pradesh",329736,346103,906,0.6725
134,"Rampur","Uttar Pradesh",325313,349062,917,0.5947
162,"Maunath Bhanjan","Uttar Pradesh",278745,278745,950,0.7713
165,"Farrukhabad and Fatehgarh","Uttar Pradesh",276581,290540,899,0.7344
171,"Hapur","Uttar Pradesh",262983,262983,885,0.7403
176,"Etawah","Uttar Pradesh",256838,256838,896,0.8175
188,"Mirzapur and Vindhyachal","Uttar Pradesh",234871,245817,870,0.7647
200,"Bulandshahr","Uttar Pradesh",222519,235310,914,0.7748
203,"Sambhal","Uttar Pradesh",220813,220813,907,0.4828
231,"Amroha","Uttar Pradesh",198471,198471,925,0.6236
241,"Fatehpur","Uttar Pradesh",193193,193193,908,0.7648
242,"Rae Bareli","Uttar Pradesh",191316,191316,915,0.8123
243,"Khora","Uttar Pradesh",190005,190005,852,0.8344
245,"Orai","Uttar Pradesh",187137,190625,882,0.818
246,"Bahraich","Uttar Pradesh",186223,186223,907,0.7375
257,"Jaunpur","Uttar Pradesh",180362,180362,925,0.8122
261,"Unnao","Uttar Pradesh",177658,177658,910,0.8171
263,"Sitapur","Uttar Pradesh",177234,188230,912,0.8057
283,"Faizabad","Uttar Pradesh",165228,259160,930,0.8403
291,"Budaun","Uttar Pradesh",159285,159285,915,0.7056
303,"Banda","Uttar Pradesh",154428,160432,881,0.8205
307,"Lakhimpur","Uttar Pradesh",151993,164925,888,0.831
348,"Hathras","Uttar Pradesh",135594,161289,880,0.771
353,"Lalitpur","Uttar Pradesh",133305,133305,917,0.8239
360,"Modinagar","Uttar Pradesh",130325,182811,881,0.8843
361,"Deoria","Uttar Pradesh",129479,129479,919,0.868
366,"Pilibhit","Uttar Pradesh",127988,160146,893,0.7273
368,"Hardoi","Uttar Pradesh",126851,197046,912,0.8543
394,"Mainpuri","Uttar Pradesh",120400,133078,916,0.8426
403,"Etah","Uttar Pradesh",118517,131023,894,0.8455
423,"Basti","Uttar Pradesh",114657,114657,908,0.833
427,"Chandausi","Uttar Pradesh",114383,114383,898,0.7096
428,"Gonda","Uttar Pradesh",114046,138929,902,0.8028
437,"Akbarpur","Uttar Pradesh",111447,111447,944,0.7449
440,"Khurja","Uttar Pradesh",111062,142636,902,0.6561
442,"Azamgarh","Uttar Pradesh",110983,116165,918,0.8523
443,"Ghazipur","Uttar Pradesh",110587,121136,908,0.8427
447,"Mughalsarai","Uttar Pradesh",109650,154692,901,0.8117
451,"Kanpur Cantonment","Uttar Pradesh",108534,108534,854,0.7872
455,"Sultanpur","Uttar Pradesh",107640,116211,908,0.8759
457,"Shikohabad","Uttar Pradesh",107404,107404,891,0.8003
459,"Shamli","Uttar Pradesh",107266,107266,876,0.8032
472,"Ballia","Uttar Pradesh",104424,111287,883,0.8333
476,"Baraut","Uttar Pradesh",103764,103764,886,0.7665
487,"Greater Noida","Uttar Pradesh",102054,102054,837,0.8647
492,"Kasganj","Uttar Pradesh",101277,101277,891,0.7736
1,"Mumbai","Maharashtra",12442373,18414288,853,0.8973
2,"Delhi","Delhi",11034555,16314838,876,0.8759
3,"Bangalore","Karnataka",8443675,8499399,923,0.8871
4,"Hyderabad","Andhra Pradesh",6731790,7749334,955,0.8326
5,"Ahmedabad","Gujarat",5577940,6352254,898,0.8829
6,"Chennai","Tamil Nadu",4646732,8696010,989,0.9018
7,"Kolkata","West Bengal",4496694,14112536,908,0.8631
8,"Surat","Gujarat",4467797,4585367,756,0.8789
9,"Pune","Maharashtra",3124458,5049968,948,0.8956
